Region 82 Avg IOU: 0.470035, Class: 0.593391, Obj: 0.713689, No Obj: 0.617945, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.112978, Class: 0.318279, Obj: 0.902607, No Obj: 0.618179, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.188339, Class: 0.333273, Obj: 0.933719, No Obj: 0.615983, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.049169, Class: 0.473501, Obj: 0.676996, No Obj: 0.615035, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.080704, Class: 0.663843, Obj: 0.853692, No Obj: 0.617799, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.572242, Class: 0.643709, Obj: 0.743056, No Obj: 0.616578, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.145388, Class: 0.452124, Obj: 0.785824, No Obj: 0.613975, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.213274, Class: 0.735276, Obj: 0.685196, No Obj: 0.614670, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.390553, Class: 0.370942, Obj: 0.550685, No Obj: 0.614778, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.225994, Class: 0.426173, Obj: 0.894801, No Obj: 0.618741, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.226085, Class: 0.734042, Obj: 0.129892, No Obj: 0.622379, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.142424, Class: 0.713028, Obj: 0.830749, No Obj: 0.618549, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.611429, Class: 0.860420, Obj: 0.580820, No Obj: 0.616861, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.298151, Class: 0.389225, Obj: 0.405979, No Obj: 0.616754, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.049713, Class: 0.757620, Obj: 0.114421, No Obj: 0.614243, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.067086, Class: 0.696254, Obj: 0.468719, No Obj: 0.609179, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.060303, Class: 0.540271, Obj: 0.364707, No Obj: 0.616100, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.091737, Class: 0.732632, Obj: 0.119213, No Obj: 0.617016, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.062350, Class: 0.824978, Obj: 0.591298, No Obj: 0.619001, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.384425, Class: 0.396369, Obj: 0.870181, No Obj: 0.615742, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.289908, Class: 0.587602, Obj: 0.533439, No Obj: 0.614054, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.194751, Class: 0.687597, Obj: 0.877910, No Obj: 0.610814, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.038324, Class: 0.804644, Obj: 0.748438, No Obj: 0.618787, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.202048, Class: 0.959891, Obj: 0.833531, No Obj: 0.615949, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.376220, Class: 0.609457, Obj: 0.473769, No Obj: 0.618603, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.091636, Class: 0.208413, Obj: 0.380441, No Obj: 0.618464, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.050735, Class: 0.354231, Obj: 0.840117, No Obj: 0.609892, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.082823, Class: 0.301769, Obj: 0.929278, No Obj: 0.613882, .5R: 0.000000, .75R: 0.000000,  count: 1
